name,age,categories,type,premise,hypothesis
Alice,1,young,specified,Alice's age is 1.,Alice is young.
Alice,1,young,nospec,Alice is 1.,Alice is young.
Alice,1,middle aged,specified,Alice's age is 1.,Alice is middle aged.
Alice,1,middle aged,nospec,Alice is 1.,Alice is middle aged.
Alice,1,old,specified,Alice's age is 1.,Alice is old.
Alice,1,old,nospec,Alice is 1.,Alice is old.
Alice,2,young,specified,Alice's age is 2.,Alice is young.
Alice,2,young,nospec,Alice is 2.,Alice is young.
Alice,2,middle aged,specified,Alice's age is 2.,Alice is middle aged.
Alice,2,middle aged,nospec,Alice is 2.,Alice is middle aged.
Alice,2,old,specified,Alice's age is 2.,Alice is old.
Alice,2,old,nospec,Alice is 2.,Alice is old.
Alice,3,young,specified,Alice's age is 3.,Alice is young.
Alice,3,young,nospec,Alice is 3.,Alice is young.
Alice,3,middle aged,specified,Alice's age is 3.,Alice is middle aged.
Alice,3,middle aged,nospec,Alice is 3.,Alice is middle aged.
Alice,3,old,specified,Alice's age is 3.,Alice is old.
Alice,3,old,nospec,Alice is 3.,Alice is old.
Alice,4,young,specified,Alice's age is 4.,Alice is young.
Alice,4,young,nospec,Alice is 4.,Alice is young.
Alice,4,middle aged,specified,Alice's age is 4.,Alice is middle aged.
Alice,4,middle aged,nospec,Alice is 4.,Alice is middle aged.
Alice,4,old,specified,Alice's age is 4.,Alice is old.
Alice,4,old,nospec,Alice is 4.,Alice is old.
Alice,5,young,specified,Alice's age is 5.,Alice is young.
Alice,5,young,nospec,Alice is 5.,Alice is young.
Alice,5,middle aged,specified,Alice's age is 5.,Alice is middle aged.
Alice,5,middle aged,nospec,Alice is 5.,Alice is middle aged.
Alice,5,old,specified,Alice's age is 5.,Alice is old.
Alice,5,old,nospec,Alice is 5.,Alice is old.
Alice,6,young,specified,Alice's age is 6.,Alice is young.
Alice,6,young,nospec,Alice is 6.,Alice is young.
Alice,6,middle aged,specified,Alice's age is 6.,Alice is middle aged.
Alice,6,middle aged,nospec,Alice is 6.,Alice is middle aged.
Alice,6,old,specified,Alice's age is 6.,Alice is old.
Alice,6,old,nospec,Alice is 6.,Alice is old.
Alice,7,young,specified,Alice's age is 7.,Alice is young.
Alice,7,young,nospec,Alice is 7.,Alice is young.
Alice,7,middle aged,specified,Alice's age is 7.,Alice is middle aged.
Alice,7,middle aged,nospec,Alice is 7.,Alice is middle aged.
Alice,7,old,specified,Alice's age is 7.,Alice is old.
Alice,7,old,nospec,Alice is 7.,Alice is old.
Alice,8,young,specified,Alice's age is 8.,Alice is young.
Alice,8,young,nospec,Alice is 8.,Alice is young.
Alice,8,middle aged,specified,Alice's age is 8.,Alice is middle aged.
Alice,8,middle aged,nospec,Alice is 8.,Alice is middle aged.
Alice,8,old,specified,Alice's age is 8.,Alice is old.
Alice,8,old,nospec,Alice is 8.,Alice is old.
Alice,9,young,specified,Alice's age is 9.,Alice is young.
Alice,9,young,nospec,Alice is 9.,Alice is young.
Alice,9,middle aged,specified,Alice's age is 9.,Alice is middle aged.
Alice,9,middle aged,nospec,Alice is 9.,Alice is middle aged.
Alice,9,old,specified,Alice's age is 9.,Alice is old.
Alice,9,old,nospec,Alice is 9.,Alice is old.
Alice,10,young,specified,Alice's age is 10.,Alice is young.
Alice,10,young,nospec,Alice is 10.,Alice is young.
Alice,10,middle aged,specified,Alice's age is 10.,Alice is middle aged.
Alice,10,middle aged,nospec,Alice is 10.,Alice is middle aged.
Alice,10,old,specified,Alice's age is 10.,Alice is old.
Alice,10,old,nospec,Alice is 10.,Alice is old.
Alice,11,young,specified,Alice's age is 11.,Alice is young.
Alice,11,young,nospec,Alice is 11.,Alice is young.
Alice,11,middle aged,specified,Alice's age is 11.,Alice is middle aged.
Alice,11,middle aged,nospec,Alice is 11.,Alice is middle aged.
Alice,11,old,specified,Alice's age is 11.,Alice is old.
Alice,11,old,nospec,Alice is 11.,Alice is old.
Alice,12,young,specified,Alice's age is 12.,Alice is young.
Alice,12,young,nospec,Alice is 12.,Alice is young.
Alice,12,middle aged,specified,Alice's age is 12.,Alice is middle aged.
Alice,12,middle aged,nospec,Alice is 12.,Alice is middle aged.
Alice,12,old,specified,Alice's age is 12.,Alice is old.
Alice,12,old,nospec,Alice is 12.,Alice is old.
Alice,13,young,specified,Alice's age is 13.,Alice is young.
Alice,13,young,nospec,Alice is 13.,Alice is young.
Alice,13,middle aged,specified,Alice's age is 13.,Alice is middle aged.
Alice,13,middle aged,nospec,Alice is 13.,Alice is middle aged.
Alice,13,old,specified,Alice's age is 13.,Alice is old.
Alice,13,old,nospec,Alice is 13.,Alice is old.
Alice,14,young,specified,Alice's age is 14.,Alice is young.
Alice,14,young,nospec,Alice is 14.,Alice is young.
Alice,14,middle aged,specified,Alice's age is 14.,Alice is middle aged.
Alice,14,middle aged,nospec,Alice is 14.,Alice is middle aged.
Alice,14,old,specified,Alice's age is 14.,Alice is old.
Alice,14,old,nospec,Alice is 14.,Alice is old.
Alice,15,young,specified,Alice's age is 15.,Alice is young.
Alice,15,young,nospec,Alice is 15.,Alice is young.
Alice,15,middle aged,specified,Alice's age is 15.,Alice is middle aged.
Alice,15,middle aged,nospec,Alice is 15.,Alice is middle aged.
Alice,15,old,specified,Alice's age is 15.,Alice is old.
Alice,15,old,nospec,Alice is 15.,Alice is old.
Alice,16,young,specified,Alice's age is 16.,Alice is young.
Alice,16,young,nospec,Alice is 16.,Alice is young.
Alice,16,middle aged,specified,Alice's age is 16.,Alice is middle aged.
Alice,16,middle aged,nospec,Alice is 16.,Alice is middle aged.
Alice,16,old,specified,Alice's age is 16.,Alice is old.
Alice,16,old,nospec,Alice is 16.,Alice is old.
Alice,17,young,specified,Alice's age is 17.,Alice is young.
Alice,17,young,nospec,Alice is 17.,Alice is young.
Alice,17,middle aged,specified,Alice's age is 17.,Alice is middle aged.
Alice,17,middle aged,nospec,Alice is 17.,Alice is middle aged.
Alice,17,old,specified,Alice's age is 17.,Alice is old.
Alice,17,old,nospec,Alice is 17.,Alice is old.
Alice,18,young,specified,Alice's age is 18.,Alice is young.
Alice,18,young,nospec,Alice is 18.,Alice is young.
Alice,18,middle aged,specified,Alice's age is 18.,Alice is middle aged.
