location,temperature,categories,premise,hypothesis
noloc,-50,freezing,It is freezing.,It is -50 degrees celsius.
noloc,-50,cold,It is cold.,It is -50 degrees celsius.
noloc,-50,cool,It is cool.,It is -50 degrees celsius.
noloc,-50,warm,It is warm.,It is -50 degrees celsius.
noloc,-50,hot,It is hot.,It is -50 degrees celsius.
noloc,-49,freezing,It is freezing.,It is -49 degrees celsius.
noloc,-49,cold,It is cold.,It is -49 degrees celsius.
noloc,-49,cool,It is cool.,It is -49 degrees celsius.
noloc,-49,warm,It is warm.,It is -49 degrees celsius.
noloc,-49,hot,It is hot.,It is -49 degrees celsius.
noloc,-48,freezing,It is freezing.,It is -48 degrees celsius.
noloc,-48,cold,It is cold.,It is -48 degrees celsius.
noloc,-48,cool,It is cool.,It is -48 degrees celsius.
noloc,-48,warm,It is warm.,It is -48 degrees celsius.
noloc,-48,hot,It is hot.,It is -48 degrees celsius.
noloc,-47,freezing,It is freezing.,It is -47 degrees celsius.
noloc,-47,cold,It is cold.,It is -47 degrees celsius.
noloc,-47,cool,It is cool.,It is -47 degrees celsius.
noloc,-47,warm,It is warm.,It is -47 degrees celsius.
noloc,-47,hot,It is hot.,It is -47 degrees celsius.
noloc,-46,freezing,It is freezing.,It is -46 degrees celsius.
noloc,-46,cold,It is cold.,It is -46 degrees celsius.
noloc,-46,cool,It is cool.,It is -46 degrees celsius.
noloc,-46,warm,It is warm.,It is -46 degrees celsius.
noloc,-46,hot,It is hot.,It is -46 degrees celsius.
noloc,-45,freezing,It is freezing.,It is -45 degrees celsius.
noloc,-45,cold,It is cold.,It is -45 degrees celsius.
noloc,-45,cool,It is cool.,It is -45 degrees celsius.
noloc,-45,warm,It is warm.,It is -45 degrees celsius.
noloc,-45,hot,It is hot.,It is -45 degrees celsius.
noloc,-44,freezing,It is freezing.,It is -44 degrees celsius.
noloc,-44,cold,It is cold.,It is -44 degrees celsius.
noloc,-44,cool,It is cool.,It is -44 degrees celsius.
noloc,-44,warm,It is warm.,It is -44 degrees celsius.
noloc,-44,hot,It is hot.,It is -44 degrees celsius.
noloc,-43,freezing,It is freezing.,It is -43 degrees celsius.
noloc,-43,cold,It is cold.,It is -43 degrees celsius.
noloc,-43,cool,It is cool.,It is -43 degrees celsius.
noloc,-43,warm,It is warm.,It is -43 degrees celsius.
