location,temperature,categories,premise,hypothesis
noloc,-50,freezing,It is freezing.,It is -50 degrees.
noloc,-50,cold,It is cold.,It is -50 degrees.
noloc,-50,cool,It is cool.,It is -50 degrees.
noloc,-50,warm,It is warm.,It is -50 degrees.
noloc,-50,hot,It is hot.,It is -50 degrees.
noloc,-49,freezing,It is freezing.,It is -49 degrees.
noloc,-49,cold,It is cold.,It is -49 degrees.
noloc,-49,cool,It is cool.,It is -49 degrees.
noloc,-49,warm,It is warm.,It is -49 degrees.
noloc,-49,hot,It is hot.,It is -49 degrees.
noloc,-48,freezing,It is freezing.,It is -48 degrees.
noloc,-48,cold,It is cold.,It is -48 degrees.
noloc,-48,cool,It is cool.,It is -48 degrees.
noloc,-48,warm,It is warm.,It is -48 degrees.
noloc,-48,hot,It is hot.,It is -48 degrees.
noloc,-47,freezing,It is freezing.,It is -47 degrees.
noloc,-47,cold,It is cold.,It is -47 degrees.
noloc,-47,cool,It is cool.,It is -47 degrees.
noloc,-47,warm,It is warm.,It is -47 degrees.
noloc,-47,hot,It is hot.,It is -47 degrees.
noloc,-46,freezing,It is freezing.,It is -46 degrees.
noloc,-46,cold,It is cold.,It is -46 degrees.
noloc,-46,cool,It is cool.,It is -46 degrees.
noloc,-46,warm,It is warm.,It is -46 degrees.
noloc,-46,hot,It is hot.,It is -46 degrees.
noloc,-45,freezing,It is freezing.,It is -45 degrees.
noloc,-45,cold,It is cold.,It is -45 degrees.
noloc,-45,cool,It is cool.,It is -45 degrees.
noloc,-45,warm,It is warm.,It is -45 degrees.
noloc,-45,hot,It is hot.,It is -45 degrees.
noloc,-44,freezing,It is freezing.,It is -44 degrees.
noloc,-44,cold,It is cold.,It is -44 degrees.
noloc,-44,cool,It is cool.,It is -44 degrees.
noloc,-44,warm,It is warm.,It is -44 degrees.
noloc,-44,hot,It is hot.,It is -44 degrees.
noloc,-43,freezing,It is freezing.,It is -43 degrees.
noloc,-43,cold,It is cold.,It is -43 degrees.
noloc,-43,cool,It is cool.,It is -43 degrees.
noloc,-43,warm,It is warm.,It is -43 degrees.
noloc,-43,hot,It is hot.,It is -43 degrees.
noloc,-42,freezing,It is freezing.,It is -42 degrees.
noloc,-42,cold,It is cold.,It is -42 degrees.
noloc,-42,cool,It is cool.,It is -42 degrees.
noloc,-42,warm,It is warm.,It is -42 degrees.
noloc,-42,hot,It is hot.,It is -42 degrees.
noloc,-41,freezing,It is freezing.,It is -41 degrees.
noloc,-41,cold,It is cold.,It is -41 degrees.
noloc,-41,cool,It is cool.,It is -41 degrees.
noloc,-41,warm,It is warm.,It is -41 degrees.
noloc,-41,hot,It is hot.,It is -41 degrees.
noloc,-40,freezing,It is freezing.,It is -40 degrees.
noloc,-40,cold,It is cold.,It is -40 degrees.
noloc,-40,cool,It is cool.,It is -40 degrees.
noloc,-40,warm,It is warm.,It is -40 degrees.
noloc,-40,hot,It is hot.,It is -40 degrees.
noloc,-39,freezing,It is freezing.,It is -39 degrees.
noloc,-39,cold,It is cold.,It is -39 degrees.
noloc,-39,cool,It is cool.,It is -39 degrees.
noloc,-39,warm,It is warm.,It is -39 degrees.
noloc,-39,hot,It is hot.,It is -39 degrees.
noloc,-38,freezing,It is freezing.,It is -38 degrees.
noloc,-38,cold,It is cold.,It is -38 degrees.
noloc,-38,cool,It is cool.,It is -38 degrees.
noloc,-38,warm,It is warm.,It is -38 degrees.
noloc,-38,hot,It is hot.,It is -38 degrees.
noloc,-37,freezing,It is freezing.,It is -37 degrees.
noloc,-37,cold,It is cold.,It is -37 degrees.
noloc,-37,cool,It is cool.,It is -37 degrees.
noloc,-37,warm,It is warm.,It is -37 degrees.
noloc,-37,hot,It is hot.,It is -37 degrees.
noloc,-36,freezing,It is freezing.,It is -36 degrees.
noloc,-36,cold,It is cold.,It is -36 degrees.
noloc,-36,cool,It is cool.,It is -36 degrees.
noloc,-36,warm,It is warm.,It is -36 degrees.
noloc,-36,hot,It is hot.,It is -36 degrees.
noloc,-35,freezing,It is freezing.,It is -35 degrees.
noloc,-35,cold,It is cold.,It is -35 degrees.
noloc,-35,cool,It is cool.,It is -35 degrees.
noloc,-35,warm,It is warm.,It is -35 degrees.
noloc,-35,hot,It is hot.,It is -35 degrees.
noloc,-34,freezing,It is freezing.,It is -34 degrees.
noloc,-34,cold,It is cold.,It is -34 degrees.
noloc,-34,cool,It is cool.,It is -34 degrees.
noloc,-34,warm,It is warm.,It is -34 degrees.
noloc,-34,hot,It is hot.,It is -34 degrees.
