name,age,categories,premise,hypothesis,entailment,contradiction,neutral,model
Barbara,1,young,Barbara is young.,Barbara is 1 year old.,0.010511736385524273,0.03258549049496651,0.956902801990509,roberta-large-mnli
Barbara,1,middle aged,Barbara is middle aged.,Barbara is 1 year old.,0.0001713630772428587,0.9994339346885681,0.000394686299841851,roberta-large-mnli
Barbara,1,old,Barbara is old.,Barbara is 1 year old.,0.0014502931153401732,0.9923960566520691,0.0061536491848528385,roberta-large-mnli
Barbara,2,young,Barbara is young.,Barbara is 2 years old.,0.002600578824058175,0.005683443043380976,0.9917159676551819,roberta-large-mnli
Barbara,2,middle aged,Barbara is middle aged.,Barbara is 2 years old.,0.00025017961161211133,0.9990978240966797,0.0006519929156638682,roberta-large-mnli
Barbara,2,old,Barbara is old.,Barbara is 2 years old.,0.005182137247174978,0.8964073061943054,0.09841052442789078,roberta-large-mnli
Barbara,3,young,Barbara is young.,Barbara is 3 years old.,0.0014761778293177485,0.00240530539304018,0.9961185455322266,roberta-large-mnli
Barbara,3,middle aged,Barbara is middle aged.,Barbara is 3 years old.,0.00033582354080863297,0.9987053871154785,0.0009587309323251247,roberta-large-mnli
Barbara,3,old,Barbara is old.,Barbara is 3 years old.,0.006100649479776621,0.7511187791824341,0.24278058111667633,roberta-large-mnli
Barbara,4,young,Barbara is young.,Barbara is 4 years old.,0.001687677577137947,0.003197622951120138,0.9951146841049194,roberta-large-mnli
Barbara,4,middle aged,Barbara is middle aged.,Barbara is 4 years old.,0.0004552975296974182,0.9981194138526917,0.0014252291293814778,roberta-large-mnli
Barbara,4,old,Barbara is old.,Barbara is 4 years old.,0.0062217870727181435,0.7911762595176697,0.2026018500328064,roberta-large-mnli
Barbara,5,young,Barbara is young.,Barbara is 5 years old.,0.001599886454641819,0.0029713106341660023,0.9954288005828857,roberta-large-mnli
Barbara,5,middle aged,Barbara is middle aged.,Barbara is 5 years old.,0.0005994676030240953,0.9976512789726257,0.0017492416081950068,roberta-large-mnli
Barbara,5,old,Barbara is old.,Barbara is 5 years old.,0.003982165828347206,0.9385931491851807,0.057424671947956085,roberta-large-mnli
Barbara,6,young,Barbara is young.,Barbara is 6 years old.,0.0018345845164731145,0.0037009702064096928,0.9944644570350647,roberta-large-mnli
Barbara,6,middle aged,Barbara is middle aged.,Barbara is 6 years old.,0.0007389992242679,0.9969077706336975,0.0023532789200544357,roberta-large-mnli
