name,feet,inches,categories,premise,hypothesis,entailment,contradiction,neutral,model
Alice,2,1,tall,Alice's height is 2 feet 1 inches.,Alice is tall.,0.39760562777519226,0.5009467005729675,0.101447694003582,roberta-large-mnli
Alice,2,1,short,Alice's height is 2 feet 1 inches.,Alice is short.,0.5884362459182739,0.05606042221188545,0.3555033206939697,roberta-large-mnli
Alice,2,2,tall,Alice's height is 2 feet 2 inches.,Alice is tall.,0.5211788415908813,0.3607492744922638,0.11807189136743546,roberta-large-mnli
Alice,2,2,short,Alice's height is 2 feet 2 inches.,Alice is short.,0.5736557841300964,0.06279688328504562,0.36354735493659973,roberta-large-mnli
Alice,2,3,tall,Alice's height is 2 feet 3 inches.,Alice is tall.,0.4405824840068817,0.4519869387149811,0.10743062943220139,roberta-large-mnli
Alice,2,3,short,Alice's height is 2 feet 3 inches.,Alice is short.,0.5965632200241089,0.04725273698568344,0.35618409514427185,roberta-large-mnli
Alice,2,4,tall,Alice's height is 2 feet 4 inches.,Alice is tall.,0.43015193939208984,0.4642574191093445,0.10559062659740448,roberta-large-mnli
Alice,2,4,short,Alice's height is 2 feet 4 inches.,Alice is short.,0.6222837567329407,0.034335337579250336,0.3433808982372284,roberta-large-mnli
Alice,2,5,tall,Alice's height is 2 feet 5 inches.,Alice is tall.,0.4776051342487335,0.4097505509853363,0.1126442551612854,roberta-large-mnli
Alice,2,5,short,Alice's height is 2 feet 5 inches.,Alice is short.,0.61995530128479,0.037233587354421616,0.3428111672401428,roberta-large-mnli
Alice,2,6,tall,Alice's height is 2 feet 6 inches.,Alice is tall.,0.5535290837287903,0.3258765637874603,0.12059434503316879,roberta-large-mnli
Alice,2,6,short,Alice's height is 2 feet 6 inches.,Alice is short.,0.5960568785667419,0.047167111188173294,0.35677605867385864,roberta-large-mnli
Alice,2,7,tall,Alice's height is 2 feet 7 inches.,Alice is tall.,0.6076533794403076,0.26512178778648376,0.12722483277320862,roberta-large-mnli
Alice,2,7,short,Alice's height is 2 feet 7 inches.,Alice is short.,0.5755883455276489,0.055770352482795715,0.3686412572860718,roberta-large-mnli
Alice,2,8,tall,Alice's height is 2 feet 8 inches.,Alice is tall.,0.5704687237739563,0.30548709630966187,0.12404418736696243,roberta-large-mnli
Alice,2,8,short,Alice's height is 2 feet 8 inches.,Alice is short.,0.5940472483634949,0.045950837433338165,0.36000189185142517,roberta-large-mnli
Alice,2,9,tall,Alice's height is 2 feet 9 inches.,Alice is tall.,0.5947273373603821,0.2762291729450226,0.12904344499111176,roberta-large-mnli
Alice,2,9,short,Alice's height is 2 feet 9 inches.,Alice is short.,0.5766679048538208,0.047828104346990585,0.3755039870738983,roberta-large-mnli
Alice,2,10,tall,Alice's height is 2 feet 10 inches.,Alice is tall.,0.4923221468925476,0.39470189809799194,0.11297596246004105,roberta-large-mnli
Alice,2,10,short,Alice's height is 2 feet 10 inches.,Alice is short.,0.634684145450592,0.03444940596818924,0.3308664858341217,roberta-large-mnli
Alice,2,11,tall,Alice's height is 2 feet 11 inches.,Alice is tall.,0.6291099190711975,0.23045484721660614,0.14043526351451874,roberta-large-mnli
Alice,2,11,short,Alice's height is 2 feet 11 inches.,Alice is short.,0.5889173150062561,0.041531722992658615,0.369550883769989,roberta-large-mnli
Alice,3,1,tall,Alice's height is 3 feet 1 inches.,Alice is tall.,0.513924777507782,0.3695906102657318,0.11648453772068024,roberta-large-mnli
Alice,3,1,short,Alice's height is 3 feet 1 inches.,Alice is short.,0.5168726444244385,0.10507623851299286,0.37805116176605225,roberta-large-mnli
Alice,3,2,tall,Alice's height is 3 feet 2 inches.,Alice is tall.,0.6328887343406677,0.240830197930336,0.12628105282783508,roberta-large-mnli
Alice,3,2,short,Alice's height is 3 feet 2 inches.,Alice is short.,0.45260581374168396,0.16370296478271484,0.3836912512779236,roberta-large-mnli
Alice,3,3,tall,Alice's height is 3 feet 3 inches.,Alice is tall.,0.48828667402267456,0.40028834342956543,0.11142496019601822,roberta-large-mnli
Alice,3,3,short,Alice's height is 3 feet 3 inches.,Alice is short.,0.5865007042884827,0.055891696363687515,0.3576076626777649,roberta-large-mnli
Alice,3,4,tall,Alice's height is 3 feet 4 inches.,Alice is tall.,0.4936903715133667,0.3940573036670685,0.1122523695230484,roberta-large-mnli
Alice,3,4,short,Alice's height is 3 feet 4 inches.,Alice is short.,0.5729700326919556,0.05700179189443588,0.37002813816070557,roberta-large-mnli
Alice,3,5,tall,Alice's height is 3 feet 5 inches.,Alice is tall.,0.433716356754303,0.4662986993789673,0.09998501092195511,roberta-large-mnli
Alice,3,5,short,Alice's height is 3 feet 5 inches.,Alice is short.,0.599129855632782,0.04835083335638046,0.35251936316490173,roberta-large-mnli
Alice,3,6,tall,Alice's height is 3 feet 6 inches.,Alice is tall.,0.48371633887290955,0.4122157692909241,0.10406789928674698,roberta-large-mnli
Alice,3,6,short,Alice's height is 3 feet 6 inches.,Alice is short.,0.5963298082351685,0.048088617622852325,0.3555816113948822,roberta-large-mnli
Alice,3,7,tall,Alice's height is 3 feet 7 inches.,Alice is tall.,0.5346043705940247,0.35292956233024597,0.11246602982282639,roberta-large-mnli
Alice,3,7,short,Alice's height is 3 feet 7 inches.,Alice is short.,0.5778020620346069,0.05652706325054169,0.3656708002090454,roberta-large-mnli
Alice,3,8,tall,Alice's height is 3 feet 8 inches.,Alice is tall.,0.45207029581069946,0.44767066836357117,0.10025904327630997,roberta-large-mnli
Alice,3,8,short,Alice's height is 3 feet 8 inches.,Alice is short.,0.6093116998672485,0.04119507595896721,0.34949323534965515,roberta-large-mnli
Alice,3,9,tall,Alice's height is 3 feet 9 inches.,Alice is tall.,0.4904520809650421,0.40031570196151733,0.10923221707344055,roberta-large-mnli
Alice,3,9,short,Alice's height is 3 feet 9 inches.,Alice is short.,0.5871529579162598,0.045169804245233536,0.3676772713661194,roberta-large-mnli
Alice,3,10,tall,Alice's height is 3 feet 10 inches.,Alice is tall.,0.34441038966178894,0.5718183517456055,0.08377128094434738,roberta-large-mnli
Alice,3,10,short,Alice's height is 3 feet 10 inches.,Alice is short.,0.6513301134109497,0.029756100848317146,0.3189137578010559,roberta-large-mnli
Alice,3,11,tall,Alice's height is 3 feet 11 inches.,Alice is tall.,0.4916396737098694,0.39035066962242126,0.11800959706306458,roberta-large-mnli
Alice,3,11,short,Alice's height is 3 feet 11 inches.,Alice is short.,0.5982384085655212,0.03892095386981964,0.36284059286117554,roberta-large-mnli
Alice,4,1,tall,Alice's height is 4 feet 1 inches.,Alice is tall.,0.5619962215423584,0.32008808851242065,0.11791570484638214,roberta-large-mnli
Alice,4,1,short,Alice's height is 4 feet 1 inches.,Alice is short.,0.5154808163642883,0.10633949190378189,0.378179669380188,roberta-large-mnli
Alice,4,2,tall,Alice's height is 4 feet 2 inches.,Alice is tall.,0.552074670791626,0.3320493996143341,0.1158759593963623,roberta-large-mnli
Alice,4,2,short,Alice's height is 4 feet 2 inches.,Alice is short.,0.5118137001991272,0.10384482145309448,0.38434144854545593,roberta-large-mnli
Alice,4,3,tall,Alice's height is 4 feet 3 inches.,Alice is tall.,0.6066353917121887,0.27241700887680054,0.12094759941101074,roberta-large-mnli
Alice,4,3,short,Alice's height is 4 feet 3 inches.,Alice is short.,0.5082650780677795,0.11193130165338516,0.37980368733406067,roberta-large-mnli
Alice,4,4,tall,Alice's height is 4 feet 4 inches.,Alice is tall.,0.6834787130355835,0.19460734724998474,0.12191394716501236,roberta-large-mnli
Alice,4,4,short,Alice's height is 4 feet 4 inches.,Alice is short.,0.5580375790596008,0.07626154273748398,0.365700900554657,roberta-large-mnli
Alice,4,5,tall,Alice's height is 4 feet 5 inches.,Alice is tall.,0.6630957722663879,0.21293772757053375,0.12396641820669174,roberta-large-mnli
Alice,4,5,short,Alice's height is 4 feet 5 inches.,Alice is short.,0.5421685576438904,0.08475086838006973,0.3730805814266205,roberta-large-mnli
Alice,4,6,tall,Alice's height is 4 feet 6 inches.,Alice is tall.,0.6142752170562744,0.27120253443717957,0.11452222615480423,roberta-large-mnli
Alice,4,6,short,Alice's height is 4 feet 6 inches.,Alice is short.,0.5687946081161499,0.06610231846570969,0.3651030659675598,roberta-large-mnli
Alice,4,7,tall,Alice's height is 4 feet 7 inches.,Alice is tall.,0.6408835649490356,0.24046626687049866,0.11865013837814331,roberta-large-mnli
Alice,4,7,short,Alice's height is 4 feet 7 inches.,Alice is short.,0.5534378290176392,0.07479523867368698,0.3717668950557709,roberta-large-mnli
Alice,4,8,tall,Alice's height is 4 feet 8 inches.,Alice is tall.,0.6050910353660583,0.27926287055015564,0.11564609408378601,roberta-large-mnli
Alice,4,8,short,Alice's height is 4 feet 8 inches.,Alice is short.,0.5811470746994019,0.05765780434012413,0.3611951470375061,roberta-large-mnli
Alice,4,9,tall,Alice's height is 4 feet 9 inches.,Alice is tall.,0.6199401021003723,0.26099029183387756,0.11906962096691132,roberta-large-mnli
Alice,4,9,short,Alice's height is 4 feet 9 inches.,Alice is short.,0.5648452043533325,0.05989278852939606,0.37526199221611023,roberta-large-mnli
Alice,4,10,tall,Alice's height is 4 feet 10 inches.,Alice is tall.,0.513955295085907,0.3800104260444641,0.1060343012213707,roberta-large-mnli
Alice,4,10,short,Alice's height is 4 feet 10 inches.,Alice is short.,0.6213977932929993,0.042579617351293564,0.33602261543273926,roberta-large-mnli
Alice,4,11,tall,Alice's height is 4 feet 11 inches.,Alice is tall.,0.5971691608428955,0.27756592631340027,0.1252649575471878,roberta-large-mnli
Alice,4,11,short,Alice's height is 4 feet 11 inches.,Alice is short.,0.5837281346321106,0.050375327467918396,0.3658965528011322,roberta-large-mnli
