name,age,categories,premise,hypothesis,entailment,contradiction,neutral,model
Barbara,1,young,Barbara is 1 year old.,Barbara is young.,0.9367318749427795,0.001262990990653634,0.06200522556900978,roberta-large-mnli
Barbara,1,middle aged,Barbara is 1 year old.,Barbara is middle aged.,0.00041633742512203753,0.9989155530929565,0.0006681111990474164,roberta-large-mnli
Barbara,1,old,Barbara is 1 year old.,Barbara is old.,0.189701646566391,0.7744669914245605,0.03583139553666115,roberta-large-mnli
Barbara,2,young,Barbara is 2 years old.,Barbara is young.,0.924846887588501,0.0016413175035268068,0.07351186871528625,roberta-large-mnli
Barbara,2,middle aged,Barbara is 2 years old.,Barbara is middle aged.,0.0015778776723891497,0.9966951608657837,0.0017269295640289783,roberta-large-mnli
Barbara,2,old,Barbara is 2 years old.,Barbara is old.,0.19928254187107086,0.7492368817329407,0.05148054286837578,roberta-large-mnli
Barbara,3,young,Barbara is 3 years old.,Barbara is young.,0.903533399105072,0.0018295939080417156,0.09463705867528915,roberta-large-mnli
Barbara,3,middle aged,Barbara is 3 years old.,Barbara is middle aged.,0.006409179884940386,0.9880118370056152,0.005578961689025164,roberta-large-mnli
Barbara,3,old,Barbara is 3 years old.,Barbara is old.,0.21618439257144928,0.7219551205635071,0.06186051294207573,roberta-large-mnli
Barbara,4,young,Barbara is 4 years old.,Barbara is young.,0.9024959802627563,0.001824214356020093,0.09567981958389282,roberta-large-mnli
Barbara,4,middle aged,Barbara is 4 years old.,Barbara is middle aged.,0.016679156571626663,0.9696290493011475,0.013691850006580353,roberta-large-mnli
Barbara,4,old,Barbara is 4 years old.,Barbara is old.,0.5017944574356079,0.3818337917327881,0.11637172102928162,roberta-large-mnli
Barbara,5,young,Barbara is 5 years old.,Barbara is young.,0.9222898483276367,0.001417403225786984,0.0762927234172821,roberta-large-mnli
Barbara,5,middle aged,Barbara is 5 years old.,Barbara is middle aged.,0.0511140376329422,0.9047420620918274,0.04414399713277817,roberta-large-mnli
Barbara,5,old,Barbara is 5 years old.,Barbara is old.,0.3942866623401642,0.5064365267753601,0.09927676618099213,roberta-large-mnli
Barbara,6,young,Barbara is 6 years old.,Barbara is young.,0.9137070178985596,0.0014809274580329657,0.08481211215257645,roberta-large-mnli
Barbara,6,middle aged,Barbara is 6 years old.,Barbara is middle aged.,0.03445041552186012,0.9292067289352417,0.036342840641736984,roberta-large-mnli
Barbara,6,old,Barbara is 6 years old.,Barbara is old.,0.5407694578170776,0.33558958768844604,0.1236410140991211,roberta-large-mnli
Barbara,7,young,Barbara is 7 years old.,Barbara is young.,0.900508463382721,0.0015544564230367541,0.0979371890425682,roberta-large-mnli
