location,temperature,categories,premise,hypothesis,entailment,contradiction,neutral,model
noloc,-50,freezing,It is -50 degrees fahrenheit.,It is freezing.,0.7728914022445679,0.002836058847606182,0.2242724895477295,roberta-large-mnli
noloc,-50,cold,It is -50 degrees fahrenheit.,It is cold.,0.7388145327568054,0.001239147735759616,0.2599463164806366,roberta-large-mnli
noloc,-50,cool,It is -50 degrees fahrenheit.,It is cool.,0.3897341787815094,0.04160226508975029,0.5686635375022888,roberta-large-mnli
noloc,-50,warm,It is -50 degrees fahrenheit.,It is warm.,0.0068457541055977345,0.9850735068321228,0.0080807413905859,roberta-large-mnli
noloc,-50,hot,It is -50 degrees fahrenheit.,It is hot.,0.004577459767460823,0.9905934929847717,0.004829101730138063,roberta-large-mnli
noloc,-49,freezing,It is -49 degrees fahrenheit.,It is freezing.,0.6849364638328552,0.00435983669012785,0.31070369482040405,roberta-large-mnli
noloc,-49,cold,It is -49 degrees fahrenheit.,It is cold.,0.6790527701377869,0.0013996370835229754,0.3195475935935974,roberta-large-mnli
noloc,-49,cool,It is -49 degrees fahrenheit.,It is cool.,0.2852640748023987,0.05804165080189705,0.656694233417511,roberta-large-mnli
noloc,-49,warm,It is -49 degrees fahrenheit.,It is warm.,0.007467540446668863,0.9826087951660156,0.009923679754137993,roberta-large-mnli
noloc,-49,hot,It is -49 degrees fahrenheit.,It is hot.,0.005322093144059181,0.9885479211807251,0.006130013149231672,roberta-large-mnli
noloc,-48,freezing,It is -48 degrees fahrenheit.,It is freezing.,0.664779782295227,0.004217263776808977,0.33100298047065735,roberta-large-mnli
noloc,-48,cold,It is -48 degrees fahrenheit.,It is cold.,0.6745468378067017,0.0013753976672887802,0.3240777254104614,roberta-large-mnli
noloc,-48,cool,It is -48 degrees fahrenheit.,It is cool.,0.3013172745704651,0.047410935163497925,0.6512717604637146,roberta-large-mnli
noloc,-48,warm,It is -48 degrees fahrenheit.,It is warm.,0.007148262578994036,0.9834864139556885,0.009365265257656574,roberta-large-mnli
noloc,-48,hot,It is -48 degrees fahrenheit.,It is hot.,0.004994901828467846,0.9893444180488586,0.005660624243319035,roberta-large-mnli
noloc,-47,freezing,It is -47 degrees fahrenheit.,It is freezing.,0.6834853291511536,0.004173565190285444,0.31234118342399597,roberta-large-mnli
noloc,-47,cold,It is -47 degrees fahrenheit.,It is cold.,0.6882442235946655,0.0013322234153747559,0.3104235827922821,roberta-large-mnli
noloc,-47,cool,It is -47 degrees fahrenheit.,It is cool.,0.29531174898147583,0.06408186256885529,0.6406064629554749,roberta-large-mnli
noloc,-47,warm,It is -47 degrees fahrenheit.,It is warm.,0.006158729549497366,0.9859636425971985,0.007877619937062263,roberta-large-mnli
noloc,-47,hot,It is -47 degrees fahrenheit.,It is hot.,0.004109907429665327,0.9912279844284058,0.0046620601788163185,roberta-large-mnli
noloc,-46,freezing,It is -46 degrees fahrenheit.,It is freezing.,0.6894099712371826,0.004447893239557743,0.3061421513557434,roberta-large-mnli
noloc,-46,cold,It is -46 degrees fahrenheit.,It is cold.,0.7021862864494324,0.0013126812409609556,0.2965010106563568,roberta-large-mnli
noloc,-46,cool,It is -46 degrees fahrenheit.,It is cool.,0.31095650792121887,0.06846991926431656,0.6205735802650452,roberta-large-mnli
noloc,-46,warm,It is -46 degrees fahrenheit.,It is warm.,0.006381287705153227,0.9855944514274597,0.008024250157177448,roberta-large-mnli
noloc,-46,hot,It is -46 degrees fahrenheit.,It is hot.,0.004602935165166855,0.9902077317237854,0.005189331714063883,roberta-large-mnli
noloc,-45,freezing,It is -45 degrees fahrenheit.,It is freezing.,0.7092041969299316,0.003472104435786605,0.28732365369796753,roberta-large-mnli
noloc,-45,cold,It is -45 degrees fahrenheit.,It is cold.,0.7173258662223816,0.0012508516665548086,0.2814232409000397,roberta-large-mnli
noloc,-45,cool,It is -45 degrees fahrenheit.,It is cool.,0.3231795132160187,0.06189111992716789,0.6149293780326843,roberta-large-mnli
noloc,-45,warm,It is -45 degrees fahrenheit.,It is warm.,0.006750874686986208,0.9850668907165527,0.008182235062122345,roberta-large-mnli
noloc,-45,hot,It is -45 degrees fahrenheit.,It is hot.,0.004561930429190397,0.9905316829681396,0.004906359128654003,roberta-large-mnli
noloc,-44,freezing,It is -44 degrees fahrenheit.,It is freezing.,0.7039539217948914,0.003953360021114349,0.2920926809310913,roberta-large-mnli
noloc,-44,cold,It is -44 degrees fahrenheit.,It is cold.,0.7176373600959778,0.0012616240419447422,0.2811010777950287,roberta-large-mnli
noloc,-44,cool,It is -44 degrees fahrenheit.,It is cool.,0.3129934072494507,0.06898363679647446,0.6180229187011719,roberta-large-mnli
noloc,-44,warm,It is -44 degrees fahrenheit.,It is warm.,0.005958035588264465,0.9866625666618347,0.007379421964287758,roberta-large-mnli
noloc,-44,hot,It is -44 degrees fahrenheit.,It is hot.,0.004336078651249409,0.9908464550971985,0.004817495588213205,roberta-large-mnli
noloc,-43,freezing,It is -43 degrees fahrenheit.,It is freezing.,0.6961824297904968,0.00398954376578331,0.2998279929161072,roberta-large-mnli
noloc,-43,cold,It is -43 degrees fahrenheit.,It is cold.,0.7075379490852356,0.0013125056866556406,0.2911495268344879,roberta-large-mnli
noloc,-43,cool,It is -43 degrees fahrenheit.,It is cool.,0.2976301312446594,0.06484709680080414,0.6375226974487305,roberta-large-mnli
noloc,-43,warm,It is -43 degrees fahrenheit.,It is warm.,0.006357652600854635,0.9857378005981445,0.007904551923274994,roberta-large-mnli
noloc,-43,hot,It is -43 degrees fahrenheit.,It is hot.,0.004405620042234659,0.9906919598579407,0.0049024005420506,roberta-large-mnli
noloc,-42,freezing,It is -42 degrees fahrenheit.,It is freezing.,0.7027651071548462,0.003829633817076683,0.2934052646160126,roberta-large-mnli
noloc,-42,cold,It is -42 degrees fahrenheit.,It is cold.,0.6934570074081421,0.0013316365657374263,0.30521130561828613,roberta-large-mnli
noloc,-42,cool,It is -42 degrees fahrenheit.,It is cool.,0.3037153482437134,0.06057218834757805,0.6357123851776123,roberta-large-mnli
noloc,-42,warm,It is -42 degrees fahrenheit.,It is warm.,0.006435513962060213,0.9853405356407166,0.008223925717175007,roberta-large-mnli
noloc,-42,hot,It is -42 degrees fahrenheit.,It is hot.,0.004525301046669483,0.9903571009635925,0.005117530003190041,roberta-large-mnli
noloc,-41,freezing,It is -41 degrees fahrenheit.,It is freezing.,0.6954970955848694,0.003915552515536547,0.30058735609054565,roberta-large-mnli
noloc,-41,cold,It is -41 degrees fahrenheit.,It is cold.,0.6833017468452454,0.0013357006246224046,0.3153625428676605,roberta-large-mnli
noloc,-41,cool,It is -41 degrees fahrenheit.,It is cool.,0.3042050004005432,0.047630973160266876,0.6481640338897705,roberta-large-mnli
noloc,-41,warm,It is -41 degrees fahrenheit.,It is warm.,0.006356129888445139,0.9855059385299683,0.008137883618474007,roberta-large-mnli
noloc,-41,hot,It is -41 degrees fahrenheit.,It is hot.,0.004465499427169561,0.9905014038085938,0.005033052526414394,roberta-large-mnli
noloc,-40,freezing,It is -40 degrees fahrenheit.,It is freezing.,0.7756283283233643,0.0028092062566429377,0.2215624898672104,roberta-large-mnli
noloc,-40,cold,It is -40 degrees fahrenheit.,It is cold.,0.7502690553665161,0.0011685622157528996,0.24856244027614594,roberta-large-mnli
noloc,-40,cool,It is -40 degrees fahrenheit.,It is cool.,0.34721556305885315,0.0761694461107254,0.5766149759292603,roberta-large-mnli
noloc,-40,warm,It is -40 degrees fahrenheit.,It is warm.,0.0053686657920479774,0.9882538318634033,0.006377485580742359,roberta-large-mnli
noloc,-40,hot,It is -40 degrees fahrenheit.,It is hot.,0.0035426733084023,0.9925071597099304,0.003950227051973343,roberta-large-mnli
noloc,-39,freezing,It is -39 degrees fahrenheit.,It is freezing.,0.727904736995697,0.003528038738295436,0.2685672342777252,roberta-large-mnli
