location,temperature,categories,premise,hypothesis,entailment,contradiction,neutral,model
noloc,-50,freezing,It is freezing.,It is -50 degrees fahrenheit.,0.17319928109645844,0.00357042346149683,0.8232302665710449,roberta-large-mnli
noloc,-50,cold,It is cold.,It is -50 degrees fahrenheit.,0.006958004552870989,0.003383567789569497,0.9896584153175354,roberta-large-mnli
noloc,-50,cool,It is cool.,It is -50 degrees fahrenheit.,0.010588821023702621,0.0687091127038002,0.9207020998001099,roberta-large-mnli
noloc,-50,warm,It is warm.,It is -50 degrees fahrenheit.,0.0026154550723731518,0.9896097183227539,0.007774871774017811,roberta-large-mnli
noloc,-50,hot,It is hot.,It is -50 degrees fahrenheit.,0.0034626261331140995,0.9845965504646301,0.011940792202949524,roberta-large-mnli
noloc,-49,freezing,It is freezing.,It is -49 degrees fahrenheit.,0.1442023664712906,0.003162434557452798,0.8526352047920227,roberta-large-mnli
noloc,-49,cold,It is cold.,It is -49 degrees fahrenheit.,0.0055210888385772705,0.002627609996125102,0.991851270198822,roberta-large-mnli
noloc,-49,cool,It is cool.,It is -49 degrees fahrenheit.,0.009440921247005463,0.04608875513076782,0.9444703459739685,roberta-large-mnli
noloc,-49,warm,It is warm.,It is -49 degrees fahrenheit.,0.005084855016320944,0.972266674041748,0.02264842577278614,roberta-large-mnli
noloc,-49,hot,It is hot.,It is -49 degrees fahrenheit.,0.006001222878694534,0.9629565477371216,0.03104228898882866,roberta-large-mnli
noloc,-48,freezing,It is freezing.,It is -48 degrees fahrenheit.,0.1104755848646164,0.002859533065930009,0.886664867401123,roberta-large-mnli
noloc,-48,cold,It is cold.,It is -48 degrees fahrenheit.,0.004320473410189152,0.0020895712077617645,0.9935899972915649,roberta-large-mnli
noloc,-48,cool,It is cool.,It is -48 degrees fahrenheit.,0.007736183237284422,0.04066074267029762,0.95160311460495,roberta-large-mnli
noloc,-48,warm,It is warm.,It is -48 degrees fahrenheit.,0.004126647487282753,0.9784108400344849,0.017462480813264847,roberta-large-mnli
noloc,-48,hot,It is hot.,It is -48 degrees fahrenheit.,0.005446626339107752,0.965318500995636,0.02923494018614292,roberta-large-mnli
noloc,-47,freezing,It is freezing.,It is -47 degrees fahrenheit.,0.0986170619726181,0.003156683873385191,0.898226261138916,roberta-large-mnli
noloc,-47,cold,It is cold.,It is -47 degrees fahrenheit.,0.0038178591057658195,0.002154056215658784,0.9940280914306641,roberta-large-mnli
noloc,-47,cool,It is cool.,It is -47 degrees fahrenheit.,0.007520829327404499,0.04875628650188446,0.9437228441238403,roberta-large-mnli
noloc,-47,warm,It is warm.,It is -47 degrees fahrenheit.,0.0033845901489257812,0.9832732677459717,0.013342203572392464,roberta-large-mnli
noloc,-47,hot,It is hot.,It is -47 degrees fahrenheit.,0.004497957415878773,0.972703754901886,0.02279832400381565,roberta-large-mnli
noloc,-46,freezing,It is freezing.,It is -46 degrees fahrenheit.,0.13653427362442017,0.0032794810831546783,0.8601862788200378,roberta-large-mnli
noloc,-46,cold,It is cold.,It is -46 degrees fahrenheit.,0.004629344213753939,0.002239752095192671,0.9931308627128601,roberta-large-mnli
noloc,-46,cool,It is cool.,It is -46 degrees fahrenheit.,0.008048109710216522,0.045165903866291046,0.9467859864234924,roberta-large-mnli
noloc,-46,warm,It is warm.,It is -46 degrees fahrenheit.,0.0037171069998294115,0.9826598167419434,0.013623032718896866,roberta-large-mnli
noloc,-46,hot,It is hot.,It is -46 degrees fahrenheit.,0.004546993412077427,0.9751601219177246,0.02029285579919815,roberta-large-mnli
noloc,-45,freezing,It is freezing.,It is -45 degrees fahrenheit.,0.09886274486780167,0.0034863105975091457,0.8976508975028992,roberta-large-mnli
noloc,-45,cold,It is cold.,It is -45 degrees fahrenheit.,0.00401820195838809,0.0020797685720026493,0.9939020872116089,roberta-large-mnli
noloc,-45,cool,It is cool.,It is -45 degrees fahrenheit.,0.008133181370794773,0.03654586896300316,0.9553208947181702,roberta-large-mnli
noloc,-45,warm,It is warm.,It is -45 degrees fahrenheit.,0.004045750480145216,0.9787436127662659,0.017210714519023895,roberta-large-mnli
noloc,-45,hot,It is hot.,It is -45 degrees fahrenheit.,0.004930700641125441,0.9703817963600159,0.024687480181455612,roberta-large-mnli
